Method,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,TN,TN,TN
Group,7,7,7,7,7,7,5,5,5,5,5,5,3,3,3,3,3,3,Overall,Overall,Overall,Overall,7,5,3
Sample,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,n,Median,Mean,Interquartile range,,,
Dugesiidae (3),,,,,,,,,,,,,,,,,,,0,,,,,,
Nereididae (6),,,,,,,,,,,,,,,,,,,0,,,,,,1
Tubificidae (2),,,,,,1,,,,,,,,,,,,1,2,1,1.00,0.00,,,
Erpobdellidae (1),,,,,,,,,,,,,,,,,,,0,,,,,,
Glossiphoniidae (2),,,,,,,,,,,,,,,,,,,0,,,,,,
Haemadipsidae (5),,,,,,,,,,,,,,,,,,,0,,,,,,
Ampullaridae (3),,,,,,,,,,,,,,,,,,,0,,,,,,
Ancylidae (1),,,,,,,,,,,,,,,,,1,,1,1,1.00,0.00,,,
Bithyniidae (3),,,,,,,,,,,,,,,,,,,0,,,,,,
Lymnaeidae (1),,,1,,,,,,,,,,,,,1,1,,3,1,1.00,0.00,,,
Physidae (2),,,,,,,,,,,,,,,,,,,0,,,,,,
Planorbidae (2),,,,,,1,,,,,,,,,,,2,,3,1.5,1.50,0.25,,,1
Thairidae (1),,2,,2,,8,,1,1,,,,,,,,,,14,2,2.80,0.75,,1,1
Amphipoda (2),,,,,,,,,,,,,,,,,,,0,,,,,,
Atyidae (6),,,,,,,,,,,,,,,,,,,0,,,,,,
Copepoda (4),,,,,,,,,,,,,,,,,,,0,,,,,,
Isopoda (1),,,,,,,,,,,,,,,,,,,0,,,,1,,
Ostracoda (3),1,,,4,,,,,,,,,,,,1,12,5,23,4,4.60,1.00,,,
Palaemonidae (7),,,,,,,,,,,,,,,,,,,0,,,,,,
Parathelphusidae (9),,,,,,,,,,,,,,,,,,,0,,,,,1,1
Amphipterygidae (10),,,,,,,,,,,,,,,,,,,0,,,,,,
Calopterygidae (8),,,,,,,1,,,,,,,,,,,,1,1,1.00,0.00,,,
Coenagrionidae (3),,,,,,,,,,,,,,,,,,,0,,,,,,
Euphaeidae (9),,,,,,,,,,,,,,,,,,,0,,,,,,
Platycnemididae (5),,,,,,,,,,,,,,,,,,,0,,,,,,
Platystictidae (8),,,,,,,,,,,,,,,,,,,0,,,,,,
