Site,Group,Sample,Dugesiidae,Nereididae,Tubificidae,Erpobdellidae,Glossiphoniidae,Haemadipsidae,Ampullaridae,Ancylidae,Bithyniidae,Lymnaeidae,Physidae,Planorbidae,Thairidae,Amphipoda,Atyidae,Copepoda,Isopoda,Ostracoda,Palaemonidae,Brachyura (Parathelphusidae),Amphipterygidae,Calopterygidae,Coenagrionidae,Euphaeidae,Platycnemididae,Platystictidae,Aeshnidae,Corduliidae,Gomphidae,Libellulidae,Baetidae,Caenidae,Heptageniidae,Leptophlebiidae,Leuctridae,Perlidae,Corixidae,Gerridae,Helotrephidae,Mesoveliidae,Naucoridae,Notonectidae,Veliidae,Sialidae,Calamoceratidae,Ecnomidae,Hydropsychidae,Hydroptilidae,Leptoceridae,Odontoceridae,Philopotamidae,Polycentropodidae,Crambidae,Curculionidae,Dytiscidae,Hydraenidae,Hydrophilidae,Scirtidae,Athericidae,Canacidae,Ceratopogonidae,Chironomidae,Corethrellidae,Culicidae,Dolichopodidae,Empididae,Ephydridae,Muscidae,Psychodidae,Simuliidae,Syrphidae,Tipulidae,Collembola,Acari,Araneae,Unidentified oligochaeta genera,Diptera pupae,"Osphronemidae (Betta pugnax, Malayan Forest Betta)","Cyprinidae (Rasbora elegans, Two-spot Rasbora)","Cyprinidae (Barbodes rhombeus, Indochinese spotted barb)","Cyprinidae (Danio albolineatus, Pearl Danio)","Poeciliidae (Poecilia reticulata, Guppy)","Clariidae (Clarias batrachus, Common walking catfish)","Hemiramphidae (Dermogenys collettei, Pygmy halfbeak)",Copper cheeked frog (Chalcorana cf. labialis),Gyrinidae,Cecidomyiidae,Nematoda,Araneae,Drosophilidae,Limnonectes blythii,"Poeciliidae (Gambusia affinis, mosquitofish)","Poeciliidae (Poecilia reticulata, Guppy)","Osphronemidae (Betta pugnax, Malayan Forest Betta)","Aplocheilidae (Aplocheilus lineatus, Striped panchax)","Aplocheilidae (Aplocheilus panchax, Whitespot)",Total
WNP,6,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNP,6,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNP,6,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNP,6,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNP,6,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNP,6,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNP,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNP,4,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNP,4,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNP,4,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
